timestamp,emotion,confidence,angry,disgust,fear,happy,sad,surprise,neutral
2026-03-05T13:41:32.051649,happy,0.486,0.17,0.0,0.046,0.486,0.136,0.022,0.132
2026-03-05T13:41:32.058821,happy,0.506,0.156,0.0,0.048,0.506,0.142,0.024,0.118
2026-03-05T13:41:32.100037,happy,0.506,0.152,0.0,0.052,0.506,0.144,0.028,0.116
2026-03-05T13:41:32.108677,happy,0.508,0.146,0.0,0.054,0.508,0.136,0.032,0.126
2026-03-05T13:41:32.149061,happy,0.51,0.136,0.0,0.056,0.51,0.14,0.032,0.13
2026-03-05T13:41:32.155157,happy,0.49,0.142,0.0,0.058,0.49,0.148,0.03,0.136
2026-03-05T13:41:32.217395,happy,0.448,0.164,0.0,0.062,0.448,0.156,0.03,0.144
2026-03-05T13:41:32.233280,happy,0.426,0.176,0.0,0.064,0.426,0.168,0.028,0.14
2026-03-05T13:41:32.302594,happy,0.434,0.172,0.0,0.062,0.434,0.168,0.026,0.138
2026-03-05T13:41:32.311188,happy,0.442,0.172,0.0,0.06,0.442,0.156,0.028,0.142
2026-03-05T13:41:32.361107,happy,0.432,0.182,0.0,0.06,0.432,0.152,0.03,0.144
2026-03-05T13:41:32.369198,happy,0.444,0.176,0.0,0.058,0.444,0.148,0.03,0.144
2026-03-05T13:41:32.418951,happy,0.434,0.178,0.0,0.058,0.434,0.144,0.03,0.154
2026-03-05T13:41:32.431345,happy,0.394,0.196,0.0,0.062,0.394,0.152,0.03,0.162
2026-03-05T13:41:32.485900,happy,0.36,0.206,0.0,0.064,0.36,0.176,0.028,0.162
2026-03-05T13:41:32.490889,happy,0.344,0.206,0.0,0.064,0.344,0.192,0.026,0.164
2026-03-05T13:41:32.531422,happy,0.344,0.198,0.0,0.064,0.344,0.192,0.024,0.17
2026-03-05T13:41:32.551155,happy,0.366,0.182,0.0,0.062,0.366,0.192,0.022,0.166
2026-03-05T13:41:32.640316,happy,0.348,0.176,0.0,0.06,0.348,0.214,0.02,0.174
2026-03-05T13:41:32.649114,happy,0.324,0.178,0.0,0.06,0.324,0.22,0.02,0.19
2026-03-05T13:41:32.696673,happy,0.298,0.176,0.0,0.064,0.298,0.218,0.024,0.212
2026-03-05T13:41:32.713314,happy,0.256,0.182,0.0,0.068,0.256,0.232,0.028,0.23
2026-03-05T13:41:32.763290,neutral,0.25,0.188,0.0,0.072,0.21,0.248,0.032,0.25
2026-03-05T13:41:32.770826,neutral,0.258,0.184,0.0,0.076,0.204,0.242,0.036,0.258
